C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
12,0.285198750333333,0.815586455333333,+,1e-05,1.15818386747172e-05,1.51587015604189,Increase
14,6.901678241,22.455714946,+,1e-05,0.00134534559121132,1.70206353400028,Increase
16,34.633282433,117.395941135333,+,1e-05,0.00185217151188186,1.76115149615604,Increase
18,40.0815873336667,58.9531202496667,+,1e-05,0.0198774717108584,0.556628529584474,Increase
20,2.06386562333333,1.709286253,+,1,0.00107307242198938,-0.271955016680928,NS
22,1.114236809,1.57760791633333,+,1e-05,0.000129780962793615,0.501682814628788,Increase
