DB,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
0,60.3160184483333,177.174609810333,+,1.16666666666667e-05,0.00329318173406557,1.55455876942986,Increase
1,98.3225924793333,214.824509372333,+,1.16666666666667e-05,0.00611274025248386,1.12756373911116,Increase
2,0.356692069666667,0.310520355,+,1,0.12346985923775,-0.199991298707531,NS
3,0.704029048,0.676118628666667,-,0.09897,0.423894622171246,-0.0583585578425316,NS
4,1.728120229,1.473040228,-,1.16666666666667e-05,0.00916421739976725,-0.230406762155929,Decrease
5,0.470483418666667,0.338701819333333,-,1.16666666666667e-05,0.00329232348154265,-0.474128142409652,Decrease
6,1.114236809,1.57760791633333,+,1.16666666666667e-05,0.000302822246518436,0.501682814628788,Increase
