C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
15,17.0197190096667,68.440369745,+,1e-05,0.00414847343963139,2.00764033515348,Increase
17,54.8389941073333,119.971360580667,+,1e-05,0.00611709000251049,1.12941603488705,Increase
19,6.07361019466667,5.05612084866667,+,1,0.0432077270268228,-0.26452337262,NS
