C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
14,5.840395067,14.632325272,+,1.25e-05,0.000743144519901598,1.3250211842007,Increase
16,145.695888094049,385.089068511667,+,1.25e-05,7.69208277622648e-06,1.4022320085843,Increase
18,462.394860570333,467.200453528667,+,1.25e-05,0.830906693703879,0.0149163120450958,Increase
20,281.004808814333,272.550154997667,+,1,0.325314755123132,-0.0440730786444931,NS
22,48.7232618366667,68.735687757,+,1.25e-05,0.00949007357201891,0.496448625363503,Increase
