C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
15,0.6641060993828,7.041404131,+,1e-05,1.65698232638342e-05,3.40637749235954,Increase
17,14.0480775903333,31.1076388506667,+,1e-05,0.00244430037012132,1.14689617648497,Increase
