DB,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
0,231.783429455766,354.996544417333,+,1e-05,0.000536095398788052,0.615027551700384,Increase
1,250.214594519667,410.748362883,+,1e-05,0.000536095398788052,0.715088883556403,Increase
2,105.983607476,87.2036679193333,+,1,0.00599215996568875,-0.281380416518867,NS
3,177.55847574,127.326706926,-,1e-05,0.00676241980219381,-0.479759170982539,Decrease
4,123.018332239333,162.250101936333,+,1e-05,0.00516069655037919,0.399346062065186,Increase
5,22.3584548786667,38.5410331863333,+,1e-05,0.00516069655037919,0.785574755524828,Increase
6,47.4545037626667,65.2903157803334,+,1e-05,0.00728900651430755,0.460324003612174,Increase
