C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
11,0.217145437,2.23258685066667,+,1.14285714285714e-05,0.000150443567731041,3.36198275718319,Increase
13,4.17340528333333,29.935519718,+,1.14285714285714e-05,0.00125653712139966,2.84256138344873,Increase
15,55.9778872647161,232.710724162667,+,1.14285714285714e-05,0.0011340185680565,2.05560875455341,Increase
17,210.692915812667,448.512356802667,+,1.14285714285714e-05,0.0036532251022676,1.09000592603595,Increase
19,74.3551474433333,57.644683469,-,0.09834,0.000151545444313971,-0.367245065135799,NS
21,39.2534729843333,14.4275385733333,-,1.14285714285714e-05,0.000151545444313971,-1.44399511512895,Decrease
23,2.921420212,2.604540895,-,1.14285714285714e-05,0.138093165362092,-0.165640798204698,Decrease
25,0.361617701333333,0.0294489563333333,-,1.14285714285714e-05,4.68524707753756e-05,-3.61817688881474,Decrease
