DB,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
0,1342.0497382081,2125.25044008833,+,1.16666666666667e-05,0.00422454133533978,0.663194718052656,Increase
1,3735.810787579,3893.33466920727,+,0.8005,0.510640433678007,0.0595849765352293,NS
2,915.1382878695,570.180374656667,-,1.16666666666667e-05,0.000133131335318028,-0.682571384365049,Decrease
3,799.786621417,370.3817861748,-,1.16666666666667e-05,2.408895075687e-05,-1.11060199375193,Decrease
4,422.3183039411,251.177944835,-,1.16666666666667e-05,0.000600951277418759,-0.749620986007961,Decrease
5,265.4557640734,117.310451714333,-,1.16666666666667e-05,0.00117043437885255,-1.17813991303717,Decrease
6,895.877212456333,253.922354229667,-,1.16666666666667e-05,0.00136612039421785,-1.81891360305376,Decrease
