C,DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
11,0,1.22486614383333,+,1e-05,0.000169249013697421,3.36198275718319,Increase
13,0,17.0544625006667,+,1e-05,0.00141360426157462,2.84256138344873,Increase
15,0,84.6786194751667,+,1e-05,0.000827216577823401,2.09585619818146,Increase
17,0,84.3304275965,+,1e-05,0.00258716576221278,1.10949540205364,Increase
17,1,50.1684038496667,+,1e-05,0.00258716576221278,0.846889281833743,Increase
19,0,3.17323650983333,+,1e-05,0.129871323572184,0.269717827181107,Increase
19,1,3.81340843183333,-,1e-05,0.000280165822667278,-1.19191771670123,Decrease
21,1,0.541164155333333,-,1e-05,0.000280165822667278,-2.17287915963681,Decrease
25,1,0.195533328833333,-,1e-05,5.27090296222975e-05,-3.61817688881474,Decrease
