DB,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
0,645.157440804667,1147.957323656,+,1e-05,0.00202494525835175,0.831345833257117,Increase
1,1896.42298106867,2098.90211799093,+,1e-05,0.122852942114122,0.146354107290815,Increase
2,186.819786253333,116.23303185,-,1e-05,0.000591670720280906,-0.68462713892285,Decrease
3,58.7312450943333,20.3048948228,-,1e-05,3.54166587034083e-06,-1.53230066882195,Decrease
4,1.07129808,0.463407355666667,-,1e-05,0.00202494525835175,-1.20900710473484,Decrease
5,0.123539429333333,0.0006512,-,1e-05,0.00202494525835175,-7.56765515662463,Decrease
6,21.3269869256667,3.579513466,-,1e-05,0.000317855044714982,-2.57484474409485,Decrease
