C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
11,0.217145437,2.23258685066667,+,1.16666666666667e-05,0.000131638121764661,3.36198275718319,Increase
13,4.17340528333333,29.935519718,+,1.16666666666667e-05,0.00131936397746964,2.84256138344873,Increase
15,32.1068681263333,137.250370824,+,1.16666666666667e-05,0.000804238339550529,2.09585619818146,Increase
17,89.2647988043333,179.732864088,+,1.16666666666667e-05,0.0020720856512414,1.00969095730411,Increase
19,8.18227014133333,5.791019742,+,1,0.00197765620354273,-0.498683754152197,NS
21,0.88587082,0.196457490666667,-,1.16666666666667e-05,0.000275850038127878,-2.17287915963681,Decrease
25,0.361617701333333,0.0294489563333333,-,1.16666666666667e-05,4.09959119284536e-05,-3.61817688881474,Decrease
