C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
14,8.13603345233333,16.1436373166667,+,1e-05,0.000152533283384664,0.988568152156604,Increase
16,132.631348741667,403.88966964,+,1e-05,2.67292847205109e-05,1.60653943532491,Increase
18,753.425924323333,561.501050023333,-,1e-05,0.00152759401891623,-0.424176954730586,Decrease
20,441.859145300667,188.569001994,-,1e-05,5.85798027939288e-05,-1.2284940069768,Decrease
22,689.731878492,212.164820743,-,1e-05,0.000732824659670266,-1.70085018636514,Decrease
24,493.868466796667,64.8872246946667,-,1e-05,4.43166730067206e-05,-2.92812048981411,Decrease
26,349.683686415,34.2839251376667,-,1e-05,2.67292847205109e-05,-3.35044629545487,Decrease
28,53.5746848193333,4.22447835,-,1e-05,3.4225711491474e-05,-3.66470634790619,Decrease
30,8.947508367,0.56190557,-,1e-05,3.50353999387149e-05,-3.99308638125093,Decrease
