DB,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
0,24.203619076,50.7385346866667,+,1.16666666666667e-05,0.00186297437773808,1.06785907102766,Increase
1,602.965928377,692.570733181667,+,0.79889,0.0435558346899164,0.199884940600871,NS
2,561.410168305,343.978289577667,-,1.16666666666667e-05,9.78226128470196e-05,-0.706737683165012,Decrease
3,523.122025816667,200.346812939667,-,1.16666666666667e-05,4.44966146370038e-05,-1.38464795535064,Decrease
4,290.503486698,82.3412705983333,-,1.16666666666667e-05,4.44966146370038e-05,-1.818867863334,Decrease
5,240.017602630667,77.4632203963333,-,1.16666666666667e-05,0.000374525231708443,-1.631556830184,Decrease
6,804.000013923667,170.841489901,-,1.16666666666667e-05,0.000818998391189892,-2.23453714156224,Decrease
