C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
17,16.2808530873333,71.7450366503333,+,1e-05,3.03937579905889e-05,2.13970273283143,Increase
19,57.5644204666667,45.7677565133333,-,1e-05,0.000103731306424539,-0.330845808962905,Decrease
21,38.0486717456667,13.888484285,-,1e-05,0.000103731306424539,-1.45395693118574,Decrease
23,2.47022281933333,0.653360363333333,-,1e-05,7.71218601117906e-05,-1.918690341618,Decrease
