C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
16,0.3442611598,0.204674773666667,-,0.01743,0.0107836037850806,-0.750170122511663,Decrease
18,0.5590362014,0.288727011666667,-,0.01743,0.00493636044112473,-0.953235626140959,Decrease
20,0.2911616376,0.234905131,-,0.01743,0.159921701468177,-0.309742057517802,Decrease
22,0.0600198084,0.111577915,+,4e-05,0.00212550253463272,0.894540879268307,Increase
