Total.C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
29,0.170981487666667,0.272697527,+,1e-05,0.0199661096878151,0.673461485447944,Increase
31,1.74822145866667,3.21978711833333,+,1e-05,0.00364843495435852,0.881077353223919,Increase
33,4.651810096,6.22620223166667,+,1e-05,0.0455746224418591,0.42056023547846,Increase
35,6.606794356,8.502128868,+,1e-05,0.0528390489707872,0.363873686393178,Increase
37,2.801478263,4.93443851166667,+,1e-05,0.00474350735514876,0.816697631598259,Increase
39,0.296287804666667,1.291473385,+,1e-05,0.000365575013856904,2.12394676166313,Increase
41,0.029137068,0.217083301,+,1e-05,0.000365575013856904,2.89732113724482,Increase
