Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
28,0,0.157737165666667,-,1.12903225806452e-05,0.00104882411698962,-1.24793293708182,Decrease
28,1,0.190663781,-,1.12903225806452e-05,0.000882496348829805,-1.44412151920803,Decrease
30,0,1.3356802745,-,1.12903225806452e-05,0.0116814331008807,-0.474306042228927,Decrease
30,1,2.285949356,-,1.12903225806452e-05,0.000719493903010761,-1.22528702939823,Decrease
32,0,5.3019720225,-,1.12903225806452e-05,0.133576768319694,-0.377048300048788,Decrease
32,1,17.9951897535,-,1.12903225806452e-05,0.000882496348829805,-1.20089537510163,Decrease
32,2,3.9860095915,-,1.12903225806452e-05,0.000260424240020271,-1.66937718193044,Decrease
34,0,3.61804931416667,-,1.12903225806452e-05,0.158978233164295,-0.4751923172865,Decrease
34,1,23.9847513766667,-,1.12903225806452e-05,0.00125403687232256,-1.08653072605493,Decrease
34,2,22.051371045,-,1.12903225806452e-05,0.00111371246897657,-1.14937579618675,Decrease
34,3,0.812027446,-,1.12903225806452e-05,0.00048595833171117,-1.06813171523381,Decrease
36,0,1.17247087433333,-,0.206932352941176,0.537101168118055,-0.185426818969422,NS
36,1,5.75873122966667,-,1.12903225806452e-05,0.000882496348829805,-1.32656378631519,Decrease
36,2,16.6748281816667,-,1.12903225806452e-05,0.00325612728652623,-0.941058584203366,Decrease
36,3,10.9087127946667,-,1.12903225806452e-05,0.0110255286530456,-0.683507241250765,Decrease
36,4,0.723454519,-,1.12903225806452e-05,0.000708021901280938,-1.40248411933942,Decrease
36,6,0.0582156761666667,-,1.12903225806452e-05,0.0025028605475819,-3.80191265815128,Decrease
38,0,0.0351117078333333,-,0.206932352941176,0.225364616435743,-0.617397515771812,NS
38,1,0.397368921333333,+,0.1109390625,0.0815812306102843,0.207365494030826,NS
38,2,2.33075472383333,+,1.12903225806452e-05,0.0184494780843076,0.345916799702477,Increase
38,3,9.5272946685,+,0.4038,0.871869922281788,0.011482370005998,NS
38,4,1.81034690416667,-,1.12903225806452e-05,0.000882496348829805,-1.36850079695491,Decrease
38,5,1.04875633033333,-,1.12903225806452e-05,0.0262855643997646,-0.499151905713629,Decrease
38,6,0.392493014,-,1.12903225806452e-05,0.000444081603863907,-2.29738690246109,Decrease
40,1,0.186905361166667,+,1.12903225806452e-05,0.00670239020373399,0.684059981417199,Increase
40,2,0.5165238715,+,1.12903225806452e-05,0.000108206875614284,1.35084543494152,Increase
40,3,0.9281453145,+,1.12903225806452e-05,0.000108206875614284,1.51589808084836,Increase
40,4,1.25914382916667,+,1.12903225806452e-05,0.000325452286488834,1.68715167516436,Increase
40,5,1.06889193616667,+,1.12903225806452e-05,0.00111371246897657,1.1277765026055,Increase
40,6,0.583532679333333,-,1.12903225806452e-05,0.00111371246897657,-1.87336214194279,Decrease
40,7,0.23858227,-,1.12903225806452e-05,0.000325452286488834,-2.42745214236864,Decrease
42,1,0.110664291666667,+,1.12903225806452e-05,0.0099180261809743,1.12877526075956,Increase
42,2,0.338892730333333,+,1.12903225806452e-05,0.000325452286488834,1.49762185449344,Increase
42,3,0.313167301333333,+,1.12903225806452e-05,0.000108206875614284,2.21739528029977,Increase
42,5,0.489150135166667,+,1.12903225806452e-05,0.000325452286488834,2.4832973063495,Increase
