Total.C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
28,0.500847602,0.195954291333333,-,1.14285714285714e-05,0.000542394078213289,-1.35385451885869,Decrease
30,4.75554017733333,2.48771908366667,-,1.14285714285714e-05,0.00153134525331623,-0.934785641018366,Decrease
32,37.1363927936667,17.4299499413333,-,1.14285714285714e-05,0.00153134525331623,-1.09126526127867,Decrease
34,68.319189425,32.6132089386667,-,1.14285714285714e-05,0.00153134525331623,-1.06683445779606,Decrease
36,46.0143058383333,24.5785207126667,-,1.14285714285714e-05,0.00296204504267746,-0.90468437648718,Decrease
38,16.4439977316667,14.6402548083333,-,0.19958,0.16326538594293,-0.167620414579691,NS
40,3.50236461833333,6.06108590533333,+,1.14285714285714e-05,0.00191447915726056,0.791247005101271,Increase
42,0.505967398,1.997781519,+,1.14285714285714e-05,0.000284537247427412,1.98128248301961,Increase
