Total.C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
28,0.500847602,0.195954291333333,-,1.07142857142857e-05,0.000508494448324958,-1.35385451885869,Decrease
29,0.170981487666667,0.272697527,-,1,0.0178268836498349,0.673461485447944,NS
30,4.75554017733333,2.48771908366667,-,1.07142857142857e-05,0.00180012750617477,-0.934785641018366,Decrease
31,1.74822145866667,3.21978711833333,+,0.70162,0.00260602496739894,0.881077353223919,NS
32,37.1363927936667,17.4299499413333,-,1.07142857142857e-05,0.00198496180068202,-1.09126526127867,Decrease
33,4.651810096,6.22620223166667,-,1,0.0450738024150254,0.42056023547846,NS
34,68.319189425,32.6132089386667,-,1.07142857142857e-05,0.00205090882140567,-1.06683445779606,Decrease
35,6.606794356,8.502128868,-,1,0.0566132667544148,0.363873686393178,NS
36,46.0143058383333,24.5785207126667,-,1.07142857142857e-05,0.00369623949751842,-0.90468437648718,Decrease
37,2.801478263,4.93443851166667,+,1.07142857142857e-05,0.00369623949751842,0.816697631598259,Increase
38,16.4439977316667,14.6402548083333,+,1,0.16326538594293,-0.167620414579691,NS
39,0.296287804666667,1.291473385,+,1.07142857142857e-05,0.000508494448324958,2.12394676166313,Increase
40,3.50236461833333,6.06108590533333,+,1.07142857142857e-05,0.00260602496739894,0.791247005101271,Increase
41,0.029137068,0.217083301,+,1.07142857142857e-05,0.000451721398227898,2.89732113724482,Increase
42,0.505967398,1.997781519,+,1.07142857142857e-05,0.000451721398227898,1.98128248301961,Increase
